Key,CATCHMENT,CLASS,RF_SCORE,WEIGHT,SECTOR,NAME,BASEHHS
44-003-1       GU15 1,1,2,576,49%,GU15 1,Camberley,3744
44-003-1       GU15 2,1,2,576,84%,GU15 2,Camberley,3879
44-003-1       GU15 3,1,2,576,86%,GU15 3,Camberley,3277
44-003-1       GU15 4,1,2,576,81%,GU15 4,Camberley,2821
44-003-1       GU15 9,1,2,576,88%,GU15 9,Camberley,0
44-003-1       GU16 8,1,2,576,41%,GU16 8,Camberley,2931
44-003-1       GU17 0,1,2,576,46%,GU17 0,Camberley,2799
44-003-1       GU17 9,1,2,576,42%,GU17 9,Camberley,1474
44-003-1       GU19 5,1,2,576,49%,GU19 5,Camberley,2538
44-003-1       GU47 0,1,2,576,44%,GU47 0,Camberley,4338
44-003-1       GU47 7,1,2,576,41%,GU47 7,Camberley,0
44-003-1       GU47 9,1,2,576,44%,GU47 9,Camberley,1683
44-003-2       GU14 9,2,2,576,22%,GU14 9,Camberley,6144
44-003-2       GU16 6,2,2,576,27%,GU16 6,Camberley,4043
44-003-2       GU16 7,2,2,576,32%,GU16 7,Camberley,897
44-003-2       GU16 9,2,2,576,38%,GU16 9,Camberley,1559
44-003-2       GU18 5,2,2,576,33%,GU18 5,Camberley,2789
44-003-2       GU20 6,2,2,576,24%,GU20 6,Camberley,1781
44-003-2       GU46 6,2,2,576,33%,GU46 6,Camberley,4227
44-003-2       GU46 7,2,2,576,31%,GU46 7,Camberley,1564
44-003-2       GU47 8,2,2,576,38%,GU47 8,Camberley,1723
44-003-2       GU95 1,2,2,576,28%,GU95 1,Camberley,0
44-003-2       RG45 7,2,2,576,23%,RG45 7,Camberley,1996
44-003-3       GU12 5,3,2,576,12%,GU12 5,Camberley,3366
44-003-3       GU14 7,3,2,576,10%,GU14 7,Camberley,3144
44-003-3       GU14 8,3,2,576,20%,GU14 8,Camberley,5874
44-003-3       GU24 9,3,2,576,9%,GU24 9,Camberley,3005
44-003-3       GU51 1,3,2,576,9%,GU51 1,Camberley,2020
44-003-3       GU51 2,3,2,576,15%,GU51 2,Camberley,1006
44-003-3       RG27 8,3,2,576,13%,RG27 8,Camberley,3239
